package_name,version,type,spdx_license
libfdisk1,2.39.3-9ubuntu6.5,dpkg,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain
libffi8,3.4.6-1build1,dpkg,LicenseRef-Expat AND LicenseRef-GPL AND GPL-2.0-or-later AND GPL-3.0-or-later AND MPL-1.1 AND X11 AND LicenseRef-public-domain
libfontconfig1,2.15.0-1.1ubuntu2,dpkg,HPND-sell-variant
libfreetype6,2.13.2+dfsg-1ubuntu0.1,dpkg,BSD-3-Clause AND BSL-1.0 AND LicenseRef-Expat AND FSFAP AND FTL AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND MIT-Modern-Variant AND LicenseRef-MIT-SMC AND LicenseRef-OpenGroup-MIT AND LicenseRef-Public-Domain AND Zlib
libgcc-13-dev,13.3.0-6ubuntu2~24.04,dpkg,LicenseRef-Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-2.0-only AND GPL-3.0-only AND LicenseRef-LGPL
libgcc-s1,14.2.0-4ubuntu2~24.04,dpkg,LicenseRef-Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-LGPL
libgcrypt20,1.10.3-2build1,dpkg,GPL-2.0-only AND LicenseRef-LGPL
libgdbm-compat4t64,1.23-5.1build1,dpkg,LicenseRef-GFDL-NIV-1.3- AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later
libgdbm6t64,1.23-5.1build1,dpkg,LicenseRef-GFDL-NIV-1.3- AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later
libgflags2.2,2.2.2-2build1,dpkg,BSD-3-Clause
