model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	snapshot-agent	criu_restore	2026-05-06T18:13:55.294Z	2026-05-06T18:13:59.403Z	0.069	4.110	snapshot-agent nsrestore timing summary	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	snapshot-agent	cuda_restore	2026-05-06T18:13:59.403Z	2026-05-06T18:14:00.004Z	4.179	0.601	snapshot-agent nsrestore timing summary	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	worker/gms-server	k8s_pod_to_gms_server	2026-05-06T18:13:46.000Z	2026-05-06T18:13:49.000Z	-9.225	3.000	restore pod yaml	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	worker/gms-loader	gms_loader_pod_to_container	2026-05-06T18:13:46.000Z	2026-05-06T18:13:52.000Z	-9.225	6.000	restore pod yaml	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	orchestration/manual-trigger	manual_restore_trigger_patch	2026-05-06T18:13:54.293Z	2026-05-06T18:13:55.322Z	-0.932	1.029	benchmark harness	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	worker/gms-loader	gms_load_wait_for_rw	2026-05-06T18:13:55.257Z	2026-05-06T18:13:55.272Z	0.032	0.015	gms-loader log	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	worker/gms-loader	gms_load_phase_a_allocate_va	2026-05-06T18:13:55.272Z	2026-05-06T18:13:56.595Z	0.047	1.323	gms-loader log	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	worker/gms-loader	gms_load_phase_b_stream_to_gpu	2026-05-06T18:13:56.595Z	2026-05-06T18:14:14.499Z	1.370	17.904	gms-loader log	328 allocations
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	worker/gms-loader	gms_load_metadata_commit	2026-05-06T18:14:14.499Z	2026-05-06T18:14:14.550Z	19.274	0.051	gms-loader log	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	worker/gms-loader	gms_load_sentinel	2026-05-06T18:14:14.555Z	2026-05-06T18:14:14.561Z	19.330	0.006	gms-loader log	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	worker/main	main_pod_to_container	2026-05-06T18:13:46.000Z	2026-05-06T18:13:52.000Z	-9.225	6.000	restore pod yaml	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	snapshot-agent	restore_agent_to_nsrestore	2026-05-06T18:13:55.225Z	2026-05-06T18:13:55.279Z	0.000	0.054	snapshot-agent	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	snapshot-agent	agent_wait_after_nsrestore_for_gms	2026-05-06T18:14:00.007Z	2026-05-06T18:14:14.561Z	4.782	14.554	snapshot-agent + gms-loader	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	worker/main	main_gms_remap	2026-05-06T18:14:14.751Z	2026-05-06T18:14:14.809Z	19.526	0.058	worker main log	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	worker/main	registration_to_generate_endpoint	2026-05-06T18:14:14.831Z	2026-05-06T18:14:15.140Z	19.606	0.309	worker main log	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	worker/main	generate_endpoint_to_metadata_snapshot	2026-05-06T18:14:15.140Z	2026-05-06T18:14:15.361Z	19.915	0.221	worker main log	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	kube/discovery	pod_ready_to_metadata_snapshot	2026-05-06T18:14:15.000Z	2026-05-06T18:14:15.361Z	19.775	0.361	pod yaml + worker main log	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	frontend/main	frontend_discovers_worker	2026-05-06T18:14:15.361Z	2026-05-06T18:14:15.365Z	20.136	0.004	worker/frontend logs	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-defapi-preload2-q25-7-0506181104	frontend/main	first_inference	2026-05-06T18:14:24.410Z	2026-05-06T18:14:25.668Z	29.185	1.258	frontend log	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	snapshot-agent	criu_restore	2026-05-06T18:04:39.968Z	2026-05-06T18:04:44.480Z	0.074	4.511	snapshot-agent nsrestore timing summary	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	snapshot-agent	cuda_restore	2026-05-06T18:04:44.480Z	2026-05-06T18:04:45.233Z	4.585	0.754	snapshot-agent nsrestore timing summary	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	worker/gms-server	k8s_pod_to_gms_server	2026-05-06T18:04:32.000Z	2026-05-06T18:04:33.000Z	-7.895	1.000	restore pod yaml	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	worker/gms-loader	gms_loader_pod_to_container	2026-05-06T18:04:32.000Z	2026-05-06T18:04:37.000Z	-7.895	5.000	restore pod yaml	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	orchestration/manual-trigger	manual_restore_trigger_patch	2026-05-06T18:04:38.950Z	2026-05-06T18:04:39.991Z	-0.945	1.041	benchmark harness	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	worker/gms-loader	gms_load_wait_for_rw	2026-05-06T18:04:39.918Z	2026-05-06T18:04:39.933Z	0.023	0.015	gms-loader log	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	worker/gms-loader	gms_load_phase_a_allocate_va	2026-05-06T18:04:39.933Z	2026-05-06T18:04:40.952Z	0.038	1.019	gms-loader log	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	worker/gms-loader	gms_load_phase_b_stream_to_gpu	2026-05-06T18:04:40.952Z	2026-05-06T18:04:50.175Z	1.057	9.223	gms-loader log	328 allocations
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	worker/gms-loader	gms_load_metadata_commit	2026-05-06T18:04:50.175Z	2026-05-06T18:04:50.217Z	10.280	0.042	gms-loader log	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	worker/gms-loader	gms_load_sentinel	2026-05-06T18:04:50.221Z	2026-05-06T18:04:50.229Z	10.326	0.008	gms-loader log	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	worker/main	main_pod_to_container	2026-05-06T18:04:32.000Z	2026-05-06T18:04:37.000Z	-7.895	5.000	restore pod yaml	
