model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	worker/gms-loader	gms_load_phase_b_stream_to_gpu	2026-05-03T17:43:17.738Z	2026-05-03T17:43:19.452Z	0.449	1.714	gms-loader log	263 allocations
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	worker/gms-loader	gms_load_metadata_commit	2026-05-03T17:43:19.452Z	2026-05-03T17:43:19.491Z	2.163	0.039	gms-loader log	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	worker/gms-loader	gms_load_sentinel	2026-05-03T17:43:19.495Z	2026-05-03T17:43:19.500Z	2.206	0.005	gms-loader log	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	worker/main	main_pod_to_container	2026-05-03T17:43:13.000Z	2026-05-03T17:43:14.000Z	-4.289	1.000	restore pod yaml	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	snapshot-agent	restore_agent_to_nsrestore	2026-05-03T17:43:17.289Z	2026-05-03T17:43:17.426Z	0.000	0.138	snapshot-agent	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	worker/main	main_gms_remap	2026-05-03T17:43:20.712Z	2026-05-03T17:43:20.769Z	3.423	0.057	worker main log	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	worker/main	registration_to_generate_endpoint	2026-05-03T17:43:20.785Z	2026-05-03T17:43:21.203Z	3.496	0.418	worker main log	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	worker/main	generate_endpoint_to_metadata_snapshot	2026-05-03T17:43:21.203Z	2026-05-03T17:43:22.693Z	3.914	1.490	worker main log	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	kube/discovery	pod_ready_to_metadata_snapshot	2026-05-03T17:43:22.000Z	2026-05-03T17:43:22.693Z	4.711	0.693	pod yaml + worker main log	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	frontend/main	frontend_discovers_worker	2026-05-03T17:43:22.693Z	2026-05-03T17:43:22.693Z	5.404	0.000	worker/frontend logs	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	frontend/main	first_inference	2026-05-03T17:43:42.577Z	2026-05-03T17:43:43.637Z	25.288	1.060	frontend log	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-local-ssd-pinned-manu-0503175308	snapshot-agent	criu_restore	2026-05-03T17:56:13.111Z	2026-05-03T17:56:15.814Z	0.147	2.704	snapshot-agent nsrestore timing summary	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-local-ssd-pinned-manu-0503175308	snapshot-agent	cuda_restore	2026-05-03T17:56:15.814Z	2026-05-03T17:56:16.716Z	2.851	0.902	snapshot-agent nsrestore timing summary	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-local-ssd-pinned-manu-0503175308	worker/gms-server	k8s_pod_to_gms_server	2026-05-03T17:56:08.000Z	2026-05-03T17:56:10.000Z	-4.964	2.000	restore pod yaml	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-local-ssd-pinned-manu-0503175308	worker/gms-loader	gms_loader_pod_to_container	2026-05-03T17:56:08.000Z	2026-05-03T17:56:11.000Z	-4.964	3.000	restore pod yaml	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-local-ssd-pinned-manu-0503175308	orchestration/manual-trigger	manual_restore_trigger_patch	2026-05-03T17:56:12.417Z	2026-05-03T17:56:13.064Z	-0.547	0.647	benchmark harness	
qwen25-72b	Qwen/Qwen2.5-72B-Instruct	gms-local-ssd-pinned-manu-0503175308	worker/gms-loader	gms_load_wait_for_rw	2026-05-03T17:56:12.986Z	2026-05-03T17:56:13.284Z	0.022	0.298	gms-loader log	
