model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	frontend/main	frontend_start_to_discovery	2026-04-30T09:10:47.000Z	2026-04-30T09:10:48.293Z	0.687	1.293	frontend log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	frontend/main	frontend_discovery_to_metadata_snapshot	2026-04-30T09:10:48.293Z	2026-04-30T09:10:51.059Z	1.980	2.766	frontend log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	frontend/main	frontend_metadata_to_ready	2026-04-30T09:10:51.059Z	2026-04-30T09:10:59.000Z	4.746	7.941	frontend log + pod yaml	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	frontend/main	frontend_ready_to_first_request	2026-04-30T09:10:59.000Z	2026-04-30T09:11:11.312Z	12.687	12.312	frontend log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	frontend/main	frontend_inference_request	2026-04-30T09:11:11.312Z	2026-04-30T09:11:12.052Z	24.999	0.740	frontend log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	worker/main	restore_pod_to_container	2026-04-30T09:14:47.000Z	2026-04-30T09:14:55.000Z	-8.991	8.000	restore pod yaml	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	snapshot-agent	agent_detect_to_restore_start	2026-04-30T09:14:55.991Z	2026-04-30T09:14:56.027Z	0.000	0.036	snapshot-agent log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	snapshot-agent	host_inspect	2026-04-30T09:14:56.027Z	2026-04-30T09:14:56.046Z	0.036	0.019	snapshot-agent Restore timing summary	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	snapshot-agent	agent_nsrestore_launch	2026-04-30T09:14:56.046Z	2026-04-30T09:14:56.065Z	0.055	0.019	snapshot-agent log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	snapshot-agent	nsrestore_setup	2026-04-30T09:14:56.065Z	2026-04-30T09:14:56.077Z	0.075	0.012	snapshot-agent nsrestore timing summary	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	snapshot-agent	criu_restore	2026-04-30T09:14:56.077Z	2026-04-30T09:15:01.424Z	0.087	5.347	snapshot-agent nsrestore timing summary	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	snapshot-agent	cuda_restore	2026-04-30T09:15:01.424Z	2026-04-30T09:15:05.062Z	5.434	3.638	snapshot-agent nsrestore timing summary	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	snapshot-agent	agent_external_complete	2026-04-30T09:15:05.063Z	2026-04-30T09:15:05.065Z	9.072	0.002	snapshot-agent log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	worker/main	restore_complete_to_sentinel	2026-04-30T09:15:05.063Z	2026-04-30T09:15:05.076Z	9.072	0.013	worker main log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	worker/main	worker_wake_up	2026-04-30T09:15:05.076Z	2026-04-30T09:15:05.501Z	9.085	0.425	worker main log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	worker/main	worker_after_wake_to_discovery	2026-04-30T09:15:05.501Z	2026-04-30T09:15:05.516Z	9.510	0.015	worker main log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	worker/main	worker_register_model	2026-04-30T09:15:05.551Z	2026-04-30T09:15:05.923Z	9.560	0.372	worker main log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	worker/main	worker_endpoint_to_metadata_snapshot	2026-04-30T09:15:05.923Z	2026-04-30T09:15:06.048Z	9.932	0.125	worker main log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	worker/main	worker_pod_ready_condition	2026-04-30T09:15:05.501Z	2026-04-30T09:15:06.000Z	9.510	0.499	worker main log + pod yaml	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	kube/discovery	pod_ready_to_metadata_snapshot	2026-04-30T09:15:06.000Z	2026-04-30T09:15:06.048Z	10.009	0.048	pod yaml + worker main log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	frontend/main	frontend_pod_to_container	2026-04-30T09:14:47.000Z	2026-04-30T09:14:57.000Z	-8.991	10.000	frontend pod yaml	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	frontend/main	frontend_start_to_discovery	2026-04-30T09:14:57.000Z	2026-04-30T09:14:58.055Z	1.009	1.055	frontend log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	frontend/main	frontend_discovery_to_metadata_snapshot	2026-04-30T09:14:58.055Z	2026-04-30T09:15:06.052Z	2.064	7.997	frontend log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	frontend/main	frontend_metadata_to_ready	2026-04-30T09:15:06.052Z	2026-04-30T09:15:08.000Z	10.061	1.948	frontend log + pod yaml	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	frontend/main	frontend_ready_to_first_request	2026-04-30T09:15:08.000Z	2026-04-30T09:15:12.828Z	12.009	4.828	frontend log	
qwen25-7b	Qwen/Qwen2.5-7B-Instruct	dckpt-qwen25-7b-0430091241	frontend/main	frontend_inference_request	2026-04-30T09:15:12.828Z	2026-04-30T09:15:13.573Z	16.837	0.745	frontend log	
